hnn_time_s,hnn_squared_position_error,hnn_cumulative_mse,lqr_time_s,lqr_squared_position_error,lqr_cumulative_mse
nan,nan,nan,5.092581034,0.008811022244,0.08570022255
nan,nan,nan,5.113031864,0.0088108381,0.08539750844
nan,nan,nan,5.132956982,0.008787373427,0.08509707653
nan,nan,nan,5.152559042,0.008771009445,0.08479892783
nan,nan,nan,5.172703028,0.008737628392,0.08450296947
nan,nan,nan,5.193720818,0.008737451571,0.08420930467
nan,nan,nan,5.213356972,0.008720911029,0.08391784369
nan,nan,nan,5.233378887,0.008688020979,0.08362849822
nan,nan,nan,5.252400875,0.008673358443,0.08334131378
nan,nan,nan,5.273869038,0.008655033171,0.08305625164
nan,nan,nan,5.293375969,0.008649262606,0.08277333533
nan,nan,nan,5.312932968,0.008654927109,0.08249258378
nan,nan,nan,5.332937002,0.008639069092,0.08221389128
nan,nan,nan,5.353258848,0.00862735445,0.08193725016
nan,nan,nan,5.373278856,0.008622408686,0.08166266274
nan,nan,nan,5.396800041,0.008612986989,0.08139008932
nan,nan,nan,5.413323879,0.008612986989,0.08111954247
nan,nan,nan,5.432672024,0.008615907205,0.08085101049
nan,nan,nan,5.454167843,0.008643502747,0.08058456212
nan,nan,nan,5.472688913,0.008654210145,0.0803201123
nan,nan,nan,5.492336035,0.008686045065,0.08005771645
nan,nan,nan,5.514652014,0.008736116074,0.07979741864
nan,nan,nan,5.532325029,0.008730930153,0.07953899504
nan,nan,nan,5.552762985,0.008736862026,0.07928246557
nan,nan,nan,5.572954893,0.008770465835,0.07902790962
nan,nan,nan,5.592772961,0.008791511849,0.07877526071
nan,nan,nan,5.613394976,0.008787385498,0.07852440811
nan,nan,nan,5.637105942,0.008763878065,0.07827526336
nan,nan,nan,5.652132988,0.008770503974,0.07802791546
nan,nan,nan,5.672534943,0.008793559601,0.07778240356
nan,nan,nan,5.692308903,0.008763804867,0.07753852158
nan,nan,nan,5.712337971,0.00876954997,0.07729637732
nan,nan,nan,5.732377052,0.008763154029,0.07705590987
nan,nan,nan,5.752329826,0.008788654395,0.07681721317
nan,nan,nan,5.772738934,0.008798623833,0.0765802146
nan,nan,nan,5.793756008,0.008798181398,0.07634486032
nan,nan,nan,5.814308882,0.008790016026,0.07611110653
nan,nan,nan,5.836714029,0.008785371329,0.07587894882
nan,nan,nan,5.855515003,0.008768018299,0.07564832707
